PSNR,SSIM,Image
36.16954809426665,0.9802834982367983,  5
35.22193885491675,0.9686197497249296,  6
34.330611453663124,0.9705483346968774,  7
33.693210275653136,0.9713682706309762,  8
34.95474872336862,0.9794311575478309,  9
34.2190757553344,0.9776145600055867, 10
31.682730380211094,0.9716155019667241, 11
31.733890172037565,0.9693459987928342, 12
34.01194747989618,0.9674794888972016, 13
35.142429547272805,0.9623057756346508, 14
32.64074729104374,0.9697758983028251, 15
32.467008307592174,0.972298786769842, 16
31.67338994623046,0.9619340270990837, 17
30.98155777480658,0.9600020703844448, 18
30.887239081809795,0.9608046562980463, 19
31.88772893999129,0.9767823989912219, 20
32.033386690505004,0.9766535771292545, 21
34.80439759192557,0.980351541358475, 22
30.93256415512697,0.973117974364147, 23
44.727373475049546,0.9938506851821249, 24
41.68440281333709,0.9853769276883524,100
30.34866905780249,0.953355863416809,101
35.720379013292394,0.9296817575436938,102
35.31754494022178,0.9793879526653315,103
31.76526292825228,0.9714824253440782,104
32.69144979437765,0.9512033620093929,105
33.85558179451524,0.9544884813706802,106
33.073548487321595,0.9735214418642567,107
25.366185094577226,0.9250901410194973,108
32.43655649069273,0.9515707854786215,109
28.948222298998182,0.9554749530998126,110
39.49446913705082,0.9727750241670478,111
32.86147748952337,0.9628469020546905,112
30.526803975426922,0.9450766022493028,113
30.911496442100074,0.9045405435203554,114
31.862639770684076,0.9491791150702306,115
26.993191981435537,0.9556694483142786,116
30.346720367175884,0.9692278551366262,117
29.942670192786135,0.9052093735985955,118
31.85092653291825,0.9423295935778835,119
32.263535327053845,0.9651588335979656,120
34.246294699400714,0.9748167847200832,121
33.39358264271577,0.9760981263597891,122
31.781369721748497,0.9398129527669595,123
30.58452908530922,0.9470480265621317,124
28.735743570420397,0.952568095801568,125
29.413823493771936,0.9598793607526043,126
30.10550587495711,0.9552012538489799,127
33.03138305382424,0.9355622421433648,128
38.11205562588388,0.9840769187149774,129
