学科代码,学科名称,学科门类,学校代码,学校名称,评估等级,省份,城市
201,理论经济学,人文社科类,10718,陕西师范大学,B-,陕西省,西安市
201,理论经济学,人文社科类,10755,新疆大学,B-,新疆维吾尔自治区,乌鲁木齐市
201,理论经济学,人文社科类,10007,北京理工大学,C+,北京市,北京市
201,理论经济学,人文社科类,10052,中央民族大学,C+,北京市,北京市
201,理论经济学,人文社科类,10053,中国政法大学,C+,北京市,北京市
201,理论经济学,人文社科类,10070,天津财经大学,C+,天津市,天津市
201,理论经济学,人文社科类,10075,河北大学,C+,河北省,保定市
201,理论经济学,人文社科类,10125,山西财经大学,C+,山西省,太原市
201,理论经济学,人文社科类,10269,华东师范大学,C+,上海市,上海市
201,理论经济学,人文社科类,10327,南京财经大学,C+,江苏省,南京市
201,理论经济学,人文社科类,10475,河南大学,C+,河南省,开封市
201,理论经济学,人文社科类,10542,湖南师范大学,C+,湖南省,长沙市
201,理论经济学,人文社科类,10108,山西大学,C,山西省,太原市
201,理论经济学,人文社科类,10207,吉林财经大学,C,吉林省,长春市
201,理论经济学,人文社科类,10212,黑龙江大学,C,黑龙江省,哈尔滨市
201,理论经济学,人文社科类,10357,安徽大学,C,安徽省,合肥市
201,理论经济学,人文社科类,10456,山东财经大学,C,山东省,济南市
201,理论经济学,人文社科类,10511,华中师范大学,C,湖北省,武汉市
201,理论经济学,人文社科类,10611,重庆大学,C,重庆市,重庆市
201,理论经济学,人文社科类,10636,四川师范大学,C,四川省,成都市
201,理论经济学,人文社科类,11065,青岛大学,C,山东省,青岛市
201,理论经济学,人文社科类,11482,浙江财经大学,C,浙江省,杭州市
201,理论经济学,人文社科类,10011,北京工商大学,C-,北京市,北京市
201,理论经济学,人文社科类,10280,上海大学,C-,上海市,上海市
201,理论经济学,人文社科类,10689,云南财经大学,C-,云南省,昆明市
201,理论经济学,人文社科类,10698,西安交通大学,C-,陕西省,西安市
201,理论经济学,人文社科类,10730,兰州大学,C-,甘肃省,兰州市
201,理论经济学,人文社科类,10741,兰州财经大学,C-,甘肃省,兰州市
201,理论经济学,人文社科类,11287,南京审计大学,C-,江苏省,南京市
202,应用经济学,人文社科类,10001,北京大学,A+,北京市,北京市
202,应用经济学,人文社科类,10002,中国人民大学,A+,北京市,北京市
202,应用经济学,人文社科类,10034,中央财经大学,A+,北京市,北京市
202,应用经济学,人文社科类,10036,对外经济贸易大学,A,北京市,北京市
202,应用经济学,人文社科类,10173,东北财经大学,A,辽宁省,大连市
202,应用经济学,人文社科类,10272,上海财经大学,A,上海市,上海市
202,应用经济学,人文社科类,10384,厦门大学,A,福建省,厦门市
202,应用经济学,人文社科类,10003,清华大学,A-,北京市,北京市
202,应用经济学,人文社科类,10055,南开大学,A-,天津市,天津市
202,应用经济学,人文社科类,10246,复旦大学,A-,上海市,上海市
202,应用经济学,人文社科类,10421,江西财经大学,A-,江西省,南昌市
202,应用经济学,人文社科类,10422,山东大学,A-,山东省,济南市
202,应用经济学,人文社科类,10520,中南财经政法大学,A-,湖北省,武汉市
202,应用经济学,人文社科类,10651,西南财经大学,A-,四川省,成都市
202,应用经济学,人文社科类,10698,西安交通大学,A-,陕西省,西安市
202,应用经济学,人文社科类,10004,北京交通大学,B+,北京市,北京市
202,应用经济学,人文社科类,10038,首都经济贸易大学,B+,北京市,北京市
202,应用经济学,人文社科类,10070,天津财经大学,B+,天津市,天津市
202,应用经济学,人文社科类,10140,辽宁大学,B+,辽宁省,沈阳市
202,应用经济学,人文社科类,10183,吉林大学,B+,吉林省,长春市
202,应用经济学,人文社科类,10284,南京大学,B+,江苏省,南京市
202,应用经济学,人文社科类,10286,东南大学,B+,江苏省,南京市
202,应用经济学,人文社科类,10335,浙江大学,B+,浙江省,杭州市
202,应用经济学,人文社科类,10353,浙江工商大学,B+,浙江省,杭州市
202,应用经济学,人文社科类,10456,山东财经大学,B+,山东省,济南市
202,应用经济学,人文社科类,10486,武汉大学,B+,湖北省,武汉市
